公司代碼,公司名稱,年月,年,設立年,ROA(A)稅後息前%,淨值/資產,淨值/資產/100,ROA標準差,Z-score,資產總額,ln資產總額,淨收益,ln淨收益,當季季底P/B,負債比率,公司年齡,董事總持股數%,經理人總持股%,是否在金融危機時期,是否在COVID時期
2801,彰銀,200612,2006,1950,0.82,6.06,0.0606,1.18367718,0.74395284,1355554458,21.0274764,29947798,17.21496636,1.33,93.94,56,19.18,0.04,0,0
2801,彰銀,200712,2007,1950,0.64,6.24,0.0624,0.067577116,10.39405108,1311503571,20.99444008,31017142,17.25005058,1.04,93.76,57,15.78,0.04,1,0
2801,彰銀,200812,2008,1950,0.36,5.77,0.0577,0.014142136,29.53585025,1396815994,21.05746119,25945709,17.0715168,0.99,94.23,58,34.74,0.03,1,0
2801,彰銀,200912,2009,1950,0.22,5.49,0.0549,0.055976185,4.911017033,1475326923,21.11214544,22729021,16.93915312,1.17,94.51,59,34.74,0.04,1,0
2801,彰銀,201012,2010,1950,0.53,5.76,0.0576,0.07410578,7.929206035,1502957985,21.13070099,28584644,17.16838021,1.86,94.24,60,34.74,0.18,0,0
2801,彰銀,201112,2011,1950,0.58,6.02,0.0602,0.06244998,10.25140441,1589117513,21.18644468,26739877,17.10166653,1.16,93.98,61,34.74,0.16,0,0
2801,彰銀,201212,2012,1950,0.53,6.5,0.065,0.049916597,11.91988305,1613823532,21.20187207,23260599,16.96227146,1.1,93.5,62,34.74,0.14,0,0
2801,彰銀,201312,2013,1950,0.53,6.61,0.0661,0.017320508,34.41584955,1700055541,21.25392676,23823209,16.98617083,1.27,93.39,63,34.74,0.11,0,0
2801,彰銀,201412,2014,1950,0.62,6.57,0.0657,0.037859389,18.11175559,1815872967,21.31983216,26400794,17.08890464,1.2,93.43,64,34.74,0.1,0,0
2801,彰銀,201512,2015,1950,0.63,6.79,0.0679,0.018929694,36.86800125,1906257219,21.36840759,29669859,17.20564224,1.03,93.21,65,34.74,0.09,0,0
2801,彰銀,201612,2016,1950,0.62,6.86,0.0686,0.020615528,33.40200628,2005151504,21.41898546,31008481,17.24977131,1.12,93.14,66,34.74,0.08,0,0
2801,彰銀,201712,2017,1950,0.6,7.12,0.0712,0.018257419,36.76313806,2036258400,21.43437984,30796719,17.24291872,1.07,92.88,67,38.47,0.07,0,0
2801,彰銀,201812,2018,1950,0.61,7.52,0.0752,0.017078251,40.1212038,2081811670,21.45650435,33108189,17.31529121,1.08,92.48,68,38.47,0.07,0,0
2801,彰銀,201912,2019,1950,0.55,7.6,0.076,0.012583057,49.74943533,2135643203,21.4820337,32078353,17.283692,1.4,92.4,69,38.47,0.06,0,0
2801,彰銀,202012,2020,1950,0.32,7.13,0.0713,0.028284271,13.83454417,2313440219,21.56200153,27317092,17.12302314,1.13,92.87,70,20.94,0.05,0,1
2801,彰銀,202112,2021,1950,0.36,6.72,0.0672,0.014142136,30.20760169,2551106497,21.65979302,28685958,17.17191829,1.04,93.28,71,20.94,0.05,0,1
2801,彰銀,202212,2022,1950,0.42,6.3,0.063,0.015,32.2,2684852319,21.71089156,34138590,17.34593897,1.07,93.7,72,25.12,0.05,0,1
2801,彰銀,202312,2023,1950,0.46,6.48,0.0648,0.014142136,37.10896388,2900874139,21.78827796,38570072,17.4679872,1.03,93.52,73,25.12,0.04,0,0
2807,渣打銀行,200612,2006,1948,-1.25,3.48,0.0348,0.596294111,-2.037920512,428620936,19.87608349,12629343,16.35153347,2.71,96.52,58,95.39,0.16,0,0
2809,京城銀,200612,2006,1951,0.03,5.6,0.056,0.322011905,0.267070872,196597237,19.09666771,2944525,14.89545807,1.02,94.4,55,15.36,2.09,0,0
2809,京城銀,200712,2007,1951,0.19,6.56,0.0656,0.056789083,4.500865033,171278264,18.95880007,3180344,14.97249993,0.83,93.44,56,14.32,0.13,1,0
2809,京城銀,200812,2008,1951,0.04,7.34,0.0734,0.065,1.744615385,150370401,18.82861215,2765933,14.83288857,0.55,92.66,57,5.02,0.07,1,0
2809,京城銀,200912,2009,1951,0.02,6.89,0.0689,0.028722813,3.095100723,161919510,18.90260992,2795243,14.8434296,0.86,93.11,58,5.02,0.43,1,0
2809,京城銀,201012,2010,1951,1.12,7.75,0.0775,0.076321688,15.69016668,168811489,18.9442932,3728330,15.13147097,1.37,92.25,59,4.97,0.46,0,0
2809,京城銀,201112,2011,1951,1.5,8.82,0.0882,0.05228129,30.37798007,176223393,18.98726303,4395387,15.29606614,1.15,91.18,60,3.75,0.19,0,0
2809,京城銀,201212,2012,1951,1.86,10.31,0.1031,0.049665548,39.52639356,194122178,19.0839983,5528331,15.52539652,1.14,89.69,61,3.75,0.17,0,0
2809,京城銀,201312,2013,1951,2.03,11.36,0.1136,0.065510813,32.72131561,213997631,19.1814755,6772052,15.7283147,1.4,88.64,62,3.28,0.06,0,0
2809,京城銀,201412,2014,1951,2.31,11.54,0.1154,0.106144556,22.84997085,235287520,19.27631881,7764807,15.86511216,1.45,88.46,63,3.28,0.06,0,0
2809,京城銀,201512,2015,1951,1.56,11.98,0.1198,0.141273966,11.89037197,237553590,19.2859038,6122704,15.62751439,0.99,88.02,64,3.28,0.07,0,0
2809,京城銀,201612,2016,1951,1.99,13.44,0.1344,0.056568542,37.55444115,244083962,19.31302283,7524759,15.83370934,0.99,86.56,65,3.42,0.1,0,0
2809,京城銀,201712,2017,1951,2.18,13.63,0.1363,0.061305247,37.78306272,271176261,19.41827958,9005445,16.01333995,1.16,86.37,66,3.42,0.06,0,0
2809,京城銀,201812,2018,1951,1.04,12.52,0.1252,0.362491379,3.214421271,281094719,19.45420225,7000814,15.76153699,0.94,87.48,67,3.42,0.08,0,0
2809,京城銀,201912,2019,1951,1.21,14.48,0.1448,0.455732012,2.972799726,282742908,19.46004859,8492984,15.95475097,0.93,85.52,68,3.48,0.07,0,0
2809,京城銀,202012,2020,1951,1.81,14.31,0.1431,0.126589889,15.42856239,325457939,19.60074379,8906920,16.00233906,0.93,85.69,69,3.96,0.06,0,1
2809,京城銀,202112,2021,1951,1.68,14.24,0.1424,0.356464117,5.112436044,343149280,19.65367613,10261958,16.14395422,0.93,85.76,70,3.96,0.14,0,1
2809,京城銀,202212,2022,1951,0.61,11.16,0.1116,0.135246688,5.335435637,379986796,19.75564706,5352370,15.49305001,0.89,88.84,71,4,0.08,0,1
